image_path,mask_path,n_mask_pixel,uid,pixel_percentage
/data/jimmy15923/cg_kidney_seg/train/S2016-32406_4_11/image/S2016-32406_4_11_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-32406_4_11/mask/S2016-32406_4_11_mask.jpg,25774,S2016-32406_4_11,2.5774
/data/jimmy15923/cg_kidney_seg/train/S2016-24259_5_4/image/S2016-24259_5_4_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-24259_5_4/mask/S2016-24259_5_4_mask.jpg,21279,S2016-24259_5_4,2.1279
/data/jimmy15923/cg_kidney_seg/train/S2016-27429_4_6/image/S2016-27429_4_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-27429_4_6/mask/S2016-27429_4_6_mask.jpg,21332,S2016-27429_4_6,2.1332
/data/jimmy15923/cg_kidney_seg/train/S2016-20146_4_5/image/S2016-20146_4_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-20146_4_5/mask/S2016-20146_4_5_mask.jpg,51594,S2016-20146_4_5,5.1594
/data/jimmy15923/cg_kidney_seg/train/S2016-20501_4_2/image/S2016-20501_4_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-20501_4_2/mask/S2016-20501_4_2_mask.jpg,2687,S2016-20501_4_2,0.2687
/data/jimmy15923/cg_kidney_seg/train/S2016-38747_5_3/image/S2016-38747_5_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-38747_5_3/mask/S2016-38747_5_3_mask.jpg,16233,S2016-38747_5_3,1.6233
/data/jimmy15923/cg_kidney_seg/train/S2016-15059_6_4/image/S2016-15059_6_4_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-15059_6_4/mask/S2016-15059_6_4_mask.jpg,23877,S2016-15059_6_4,2.3877
/data/jimmy15923/cg_kidney_seg/train/S2016-12988_4_5/image/S2016-12988_4_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-12988_4_5/mask/S2016-12988_4_5_mask.jpg,29771,S2016-12988_4_5,2.9771
/data/jimmy15923/cg_kidney_seg/train/S2016-27539_4_6/image/S2016-27539_4_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-27539_4_6/mask/S2016-27539_4_6_mask.jpg,30064,S2016-27539_4_6,3.0064
/data/jimmy15923/cg_kidney_seg/train/S2016-35511_5_6/image/S2016-35511_5_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-35511_5_6/mask/S2016-35511_5_6_mask.jpg,41194,S2016-35511_5_6,4.1194
